,text_number,screen_number,sentence_number,w_in_sent_id,w_in_screen_id,deps,n_rights,n_lefts,dep_distance,word_length,surprisal_gpt,contains_punctuation,lex_freq_unk,lex_freq,PoS-Tag
7256,14,1,2,5,20,oa,0,0,-2,4,0.023571627214550972,FALSE,FALSE,6566.550453,prf
7257,14,1,2,6,21,sb,0,0,2,14,8.147701263427734,FALSE,FALSE,11.83751439,nn
7258,14,1,2,7,22,oc,0,1,3,8,9.590468406677246,TRUE,FALSE,5.093074215,vvinf
7259,14,1,3,1,23,mo,1,0,-4,7,10.499610900878906,FALSE,FALSE,20.8219262,appr
7260,14,1,3,2,24,nk,0,0,1,7,1.6424132585525513,FALSE,FALSE,41.03889656,nn
7261,14,1,3,3,25,ROOT,3,0,0,4,7.879938125610352,FALSE,FALSE,8998.096899,vafin
7262,14,1,3,4,26,sb,0,0,1,6,5.860259532928467,FALSE,FALSE,195.899418,nn
7263,14,1,3,5,27,oc,2,1,2,12,6.73053503,TRUE,FALSE,0.98100948,vvpp
7264,14,1,3,6,28,mo,1,0,-2,3,5.490349769592285,FALSE,FALSE,1753.178391,apprart
7265,14,1,3,7,29,nk,0,0,1,8,1.240185260772705,FALSE,FALSE,204.8593046,nn
7266,14,1,3,8,30,cj,1,1,4,8,13.823417663574219,FALSE,FALSE,0.049050474,vvfin
7267,14,1,3,9,31,cd,1,0,1,4,0.6610159873962402,FALSE,FALSE,2440.800636,kon
7268,14,1,3,10,32,cj,0,0,1,10,2.940387725830078,TRUE,FALSE,3.368132546,adjd
7269,14,1,4,1,33,cp,0,0,-20,2,6.3748674392700195,FALSE,FALSE,514.850125,kous
7270,14,1,4,2,34,ep,0,0,-19,2,3.0366132259368896,FALSE,FALSE,7209.667567,pper
7271,14,1,4,3,35,op,3,0,-18,2,2.5424931049346924,FALSE,FALSE,2173.549128,appr
7272,14,1,4,4,36,nk,1,0,1,17,14.743797302246094,FALSE,FALSE,8.976236738,nn
7273,14,1,4,5,37,mnr,1,0,1,2,4.7657036781311035,FALSE,FALSE,14298.16411,appr
7274,14,1,4,6,38,nk,0,0,-1,3,4.217803478240967,FALSE,FALSE,80100.30691,art
7275,14,1,4,7,39,nk,0,1,2,10,3.759855031967163,TRUE,FALSE,71.9652204,nn
7276,14,1,4,8,40,cj,2,0,6,2,2.5602080821990967,FALSE,FALSE,2173.549128,appr
7277,14,1,4,9,41,nk,1,0,1,10,1.1996469497680664,FALSE,FALSE,2.436173541,nn
7278,14,1,4,10,42,mnr,1,0,1,4,2.7539353370666504,FALSE,FALSE,432.6170054,apprart
7279,14,1,4,11,43,nk,1,0,1,9,7.696903228759766,FALSE,FALSE,20.02076846,nn
7280,14,1,4,12,44,mnr,1,0,1,2,6.928595542907715,FALSE,FALSE,4852.53069,apprart
7281,14,1,4,13,45,nk,0,0,1,7,1.418995976448059,FALSE,FALSE,60.4056587,nn
7282,14,1,4,14,46,cd,1,0,6,4,5.037514686584473,FALSE,FALSE,2440.800636,kon
7283,14,1,4,15,47,cj,1,0,1,2,2.760139226913452,FALSE,FALSE,2173.549128,appr
7284,14,1,4,16,48,nk,0,0,-1,3,0.37079426646232605,FALSE,FALSE,80100.30691,art
7285,14,1,4,17,49,nk,1,1,2,7,0.35378503799438477,FALSE,FALSE,2.174571013,nn
7286,14,1,4,18,50,mnr,1,0,1,2,2.680067300796509,FALSE,FALSE,4852.53069,apprart
7287,14,1,4,19,51,nk,0,0,1,4,5.987613677978516,FALSE,FALSE,409.1627037,nn
7288,14,1,4,20,52,mo,0,3,-3,4,1.9529060125350952,FALSE,FALSE,1082.928189,vvfin
7289,14,1,4,21,53,punct,0,0,-2,1,4.201549530029297,TRUE,TRUE,0,None
7290,14,1,4,22,54,mo,0,0,-1,7,0.18796510994434357,FALSE,FALSE,104.9026137,adv
7291,14,1,4,23,55,ROOT,6,3,0,3,2.3572964668273926,FALSE,FALSE,17044.4184,vafin
7292,14,1,4,24,56,sb,0,0,1,7,5.258471965789795,FALSE,FALSE,41.03889656,nn
7293,14,1,4,25,57,mo,1,0,2,2,2.850210189819336,FALSE,FALSE,14298.16411,appr
7294,14,1,4,26,58,nk,0,0,-1,7,4.966198921203613,FALSE,FALSE,55.27170909,pwat
7295,14,1,4,27,59,nk,0,1,2,4,3.6618897914886475,FALSE,FALSE,309.6883425,nn
7296,14,1,4,28,60,mo,0,0,5,4,11.15930176,FALSE,FALSE,4062.311204,adv
7297,14,1,4,29,61,mo,0,0,6,5,0.19433969259262085,FALSE,FALSE,1019.538627,adv
7298,14,1,4,30,62,nk,0,0,-2,3,1.5890803337097168,FALSE,FALSE,80100.30691,art
7299,14,1,4,31,63,nk,0,0,-1,8,0.004618454,FALSE,FALSE,48.00406386,adja
7300,14,1,4,32,64,pd,0,2,9,15,9.773103713989258,TRUE,FALSE,0.073575711,nn
7301,14,1,5,1,65,nk,0,0,-6,4,4.816502571105957,FALSE,FALSE,17543.4334,art
7302,14,1,5,2,66,nk,1,0,-5,10,9.068946838378906,FALSE,FALSE,9.989946533,adja
7303,14,1,5,3,67,cd,1,0,1,3,2.4619481563568115,FALSE,FALSE,23398.58848,kon
7304,14,1,5,4,68,mo,1,0,-2,7,9.190095901489258,FALSE,FALSE,212.0124987,adv
